Time,Pump Output,Flow Measured Value
0.000,100.00,0.00
0.109,100.00,0.00
0.203,100.00,0.00
0.312,100.00,0.07
0.406,100.00,0.21
0.515,100.00,0.61
0.609,100.00,1.01
0.702,100.00,1.37
0.811,100.00,1.71
0.905,100.00,1.93
1.014,100.00,2.15
1.108,100.00,2.27
1.201,100.00,2.39
1.311,100.00,2.48
1.404,100.00,2.53
1.513,100.00,2.60
1.607,100.00,2.63
1.701,100.00,2.65
1.810,100.00,2.69
1.903,100.00,2.71
2.013,100.00,2.73
2.106,100.00,2.75
2.215,100.00,2.75
2.309,100.00,2.77
2.403,100.00,2.76
2.512,100.00,2.79
2.605,100.00,2.77
2.715,100.00,2.77
2.808,100.00,2.79
2.902,100.00,2.79
3.011,100.00,2.80
3.105,100.00,2.79
3.214,100.00,2.81
3.307,100.00,2.80
3.401,100.00,2.79
3.510,100.00,2.80
3.604,100.00,2.81
3.713,100.00,2.80
3.807,100.00,2.80
3.916,100.00,2.81
4.009,100.00,2.81
4.103,100.00,2.81
4.212,100.00,2.81
4.306,100.00,2.81
4.415,100.00,2.81
4.509,100.00,2.81
4.602,100.00,2.83
4.711,100.00,2.83
4.805,100.00,2.84
4.914,100.00,2.83
5.008,100.00,2.83
5.101,100.00,2.81
5.211,100.00,2.83
5.304,100.00,2.81
5.413,100.00,2.80
5.507,100.00,2.80
5.601,100.00,2.80
5.710,100.00,2.80
5.803,100.00,2.79
5.913,100.00,2.80
6.006,100.00,2.80
6.115,100.00,2.80
6.209,100.00,2.79
6.303,100.00,2.79
6.412,100.00,2.79
6.505,100.00,2.79
6.615,100.00,2.79
6.708,100.00,2.79
6.802,100.00,2.80
6.911,100.00,2.79
7.005,100.00,2.80
7.114,100.00,2.80
7.207,100.00,2.80
7.301,100.00,2.79
7.410,100.00,2.79
7.504,100.00,2.80
7.613,100.00,2.80
7.707,100.00,2.80
7.816,100.00,2.80
7.909,100.00,2.79
8.003,100.00,2.79
8.112,100.00,2.79
8.206,100.00,2.80
8.315,100.00,2.80
8.409,100.00,2.79
8.502,100.00,2.79
8.611,100.00,2.80
8.705,100.00,2.77
8.814,100.00,2.80
8.908,100.00,2.79
9.001,100.00,2.79
9.111,100.00,2.79
9.204,100.00,2.80
9.313,100.00,2.80
9.407,100.00,2.79
9.501,100.00,2.79
9.610,100.00,2.80
9.703,100.00,2.79
9.813,100.00,2.80
9.906,100.00,2.79
10.015,100.00,2.79
10.109,100.00,2.79
10.203,100.00,2.77
10.312,100.00,2.79
10.405,100.00,2.80
10.515,100.00,2.80
10.608,100.00,2.79
10.702,100.00,2.79
10.811,100.00,2.80
10.905,100.00,2.79
11.014,100.00,2.79
11.107,100.00,2.80
11.201,100.00,2.79
11.310,100.00,2.79
11.404,100.00,2.77
11.513,100.00,2.79
11.607,100.00,2.79
11.716,100.00,2.79
11.809,100.00,2.79
11.903,100.00,2.77
12.012,100.00,2.79
12.106,100.00,2.79
12.215,100.00,2.77
12.309,100.00,2.79
12.402,100.00,2.79
12.511,100.00,2.79
12.605,100.00,2.80
12.714,100.00,2.77
12.808,100.00,2.77
12.901,100.00,2.77
13.011,100.00,2.79
13.104,100.00,2.77
13.213,100.00,2.79
13.307,100.00,2.77
13.401,100.00,2.77
13.510,100.00,2.79
13.603,100.00,2.79
13.713,100.00,2.77
13.806,100.00,2.79
13.915,100.00,2.77
14.009,100.00,2.79
14.103,100.00,2.77
14.212,100.00,2.76
14.305,100.00,2.76
14.415,100.00,2.77
14.508,100.00,2.79
14.602,100.00,2.77
14.711,100.00,2.77
14.805,100.00,2.77
14.914,100.00,2.76
15.007,100.00,2.79
15.101,100.00,2.79
